City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
504,sambava,-14.2667,50.1667,303.7,55,0,3.68,MG,1703056713
505,mugia,43.1041,-9.2179,284.35,74,94,9.19,ES,1703056714
506,ongjin,37.9347,125.3619,265.82,78,100,10.17,KP,1703056715
507,turpan,42.9333,89.1667,268.84,34,12,0.22,CN,1703056716
508,anadyr,64.75,177.4833,247.43,76,0,5.0,RU,1703056717
509,shamakhi,40.6314,48.6414,277.59,54,0,2.44,AZ,1703056718
510,gadzhiyevo,69.2551,33.3362,264.58,96,100,1.16,RU,1703056719
511,kuanda,56.3161,116.0806,244.48,97,100,0.58,RU,1703056719
512,savur,37.5388,40.8877,283.81,48,8,1.53,TR,1703056720
513,gombong,-7.6072,109.5142,302.89,54,100,3.5,ID,1703056721
514,novofedorivka,46.1713,32.3178,282.09,87,2,6.67,UA,1703056722
515,embi,48.8264,58.1442,272.77,91,100,7.27,KZ,1703056723
516,wangaratta,-36.3667,146.3333,299.43,46,31,5.32,AU,1703056724
517,farrokh shahr,32.2717,50.9801,278.74,33,0,1.03,IR,1703056725
518,jumla,29.2747,82.1838,291.97,9,81,2.51,NP,1703056506
519,stephenville,32.2207,-98.2023,284.59,73,0,3.09,US,1703056727
520,langsa,4.4683,97.9683,304.49,56,100,2.12,ID,1703056728
521,mar del plata,-38.0023,-57.5575,289.87,80,100,8.05,AR,1703056729
522,lakhipur,26.0299,90.3041,297.22,51,99,3.12,IN,1703056729
523,tutova,46.1167,27.55,276.43,75,0,1.95,RO,1703056731
524,zhangye,38.9342,100.4517,265.47,60,92,2.46,CN,1703056732
525,khilok,51.3674,110.4676,252.35,77,53,2.51,RU,1703056733
526,calama,-22.4667,-68.9333,285.42,40,0,7.2,CL,1703056546
527,al bawiti,28.3492,28.8659,287.76,66,100,3.26,EG,1703056735
528,mount gambier,-37.8333,140.7667,289.12,54,0,6.07,AU,1703056735
529,lolodorf,3.2333,10.7333,296.9,90,90,0.95,CM,1703056736
530,new ross,52.3967,-6.9367,283.56,1,100,7.49,IE,1703056737
531,wauchope,-31.45,152.7333,294.24,99,100,1.07,AU,1703056738
532,khandyga,62.6667,135.6,230.67,98,100,0.88,RU,1703056739
533,ban karon,7.8477,98.2985,305.25,59,100,1.39,TH,1703056740
534,ishinomaki,38.4167,141.3,278.15,94,96,5.83,JP,1703056741
535,kupang,-10.1667,123.5833,306.47,62,40,6.69,ID,1703056742
536,pacocha,-17.5833,-71.3333,293.32,86,82,2.82,PE,1703056743
537,praia da vitoria,38.7333,-27.0667,290.29,82,40,7.42,PT,1703056744
538,mahanoro,-19.9,48.8,302.5,64,97,3.18,MG,1703056745
539,tambopata,-12.7333,-69.1833,296.88,90,100,0.98,PE,1703056746
540,aalten,51.9167,6.5833,280.34,83,100,7.88,NL,1703056746
541,saint george's,12.0564,-61.7485,298.97,83,20,4.12,GD,1703056747
542,greymouth,-42.4667,171.2,288.78,68,100,1.08,NZ,1703056748
543,mana,5.6592,-53.7767,298.45,93,22,3.95,GF,1703056749
544,asubulaq,49.5583,83.0558,264.24,77,100,2.86,KZ,1703056750
545,mancio lima,-7.6142,-72.8958,296.61,94,100,0.58,BR,1703056751
546,makokou,0.5738,12.8642,297.89,81,100,2.01,GA,1703056752
547,alpena,45.0617,-83.4327,273.77,79,100,3.6,US,1703056752
548,tuy hoa,13.0833,109.3,296.46,93,100,8.33,VN,1703056753
549,nuuk,64.1835,-51.7216,267.49,68,100,3.6,GL,1703056754
550,santa cruz,-17.8,-63.1667,296.85,88,40,4.12,BO,1703056755
551,barah,13.7,30.3667,297.83,33,0,3.54,SD,1703056756
552,neiafu,-18.65,-173.9833,299.88,86,28,10.54,TO,1703056757
553,salur,18.5333,83.2167,298.73,43,20,1.65,IN,1703056758
554,turabah,21.2141,41.6331,292.91,13,0,2.85,SA,1703056759
555,severobaykal'sk,55.65,109.3167,252.88,86,43,0.97,RU,1703056759
556,lazaro cardenas,17.9583,-102.2,297.38,88,4,1.5,MX,1703056760
557,santo domingo de la calzada,42.4285,-2.9555,281.04,89,100,4.21,ES,1703056761
558,fabens,31.5023,-106.1586,285.08,30,14,2.85,US,1703056762
559,vilhena,-12.7406,-60.1458,295.51,74,64,0.5,BR,1703056757
560,labytnangi,66.6572,66.4183,252.07,100,100,0.38,RU,1703056764
561,farkhar,36.5729,69.8578,282.82,49,100,1.43,AF,1703056765
562,cobija,-11.0267,-68.7692,296.74,97,96,1.06,BO,1703056765
563,chokwe,-24.5333,32.9833,303.01,58,51,1.3,MZ,1703056767
564,la ronge,55.1001,-105.2842,258.29,72,75,4.12,CA,1703056768
565,whakatane,-37.9585,176.9854,295.1,89,1,0.89,NZ,1703056553
566,taroa,8.7058,171.2275,300.63,79,100,10.23,MH,1703056770
567,the pinery,39.4553,-104.7344,282.19,29,75,3.09,US,1703056770
568,tarrafal,15.2833,-23.7667,296.59,71,100,9.42,CV,1703056771
569,las vegas,36.175,-115.1372,287.32,34,0,4.47,US,1703056434
570,ujae,8.9322,165.7642,300.69,77,100,9.67,MH,1703056773
571,sievi,63.9,24.5,270.04,95,100,3.88,FI,1703056774
572,santanyi,39.3546,3.1291,284.05,71,97,3.97,ES,1703056774
573,honefoss,60.168,10.2565,269.99,97,100,1.71,NO,1703056775
574,port blair,11.6667,92.75,303.17,70,20,5.14,IN,1703056776
575,batticaloa,7.7102,81.6924,301.23,79,98,4.69,LK,1703056777
576,linden,6.0,-58.3,296.22,99,57,0.23,GY,1703056778
577,chistyye bory,58.3647,41.6278,273.24,85,100,6.55,RU,1703056779
578,grand falls-windsor,48.9332,-55.6649,286.21,93,100,3.58,CA,1703056780
579,nantucket,41.2835,-70.0995,276.21,75,0,5.14,US,1703056780
580,bucerias,20.75,-105.3333,297.03,81,80,1.12,MX,1703056652
